# file...... csv_output/Transformer_VA_Power.csv
# date...... Tue Jun 19 17:30:07 2018
# user...... Kapil.Duwadi
# host...... (null)
# target.... meter 5
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,measured_power_A
2014-06-22 04:58:00 PST,+12500.3+0.0756577d
2014-06-22 04:59:00 PST,+11321.3+0.0691448d
2014-06-22 05:00:00 PST,+11716+0.0749232d
2014-06-22 05:01:00 PST,+11595.8+0.0739745d
2014-06-22 05:02:00 PST,+11482.4+0.0840164d
2014-06-22 05:03:00 PST,+11968.4+0.0819046d
2014-06-22 05:04:00 PST,+11785.3+0.0808665d
2014-06-22 05:05:00 PST,+11602.1+0.0798289d
2014-06-22 05:06:00 PST,+11694.1+0.0822766d
2014-06-22 05:07:00 PST,+11511+0.081245d
2014-06-22 05:08:00 PST,+10008.4+0.0647953d
2014-06-22 05:09:00 PST,+9931.26+0.0638517d
2014-06-22 05:10:00 PST,+8340.04+0.0516163d
2014-06-22 05:11:00 PST,+8205.88+0.0550035d
2014-06-22 05:12:00 PST,+8848.91+0.0639406d
2014-06-22 05:13:00 PST,+9421.04+0.067062d
2014-06-22 05:14:00 PST,+9101.64+0.0646362d
2014-06-22 05:15:00 PST,+8244.86+0.0604722d
2014-06-22 05:16:00 PST,+7292.42+0.0544061d
2014-06-22 05:17:00 PST,+7262.99+0.0532905d
2014-06-22 05:18:00 PST,+7080.53+0.052274d
2014-06-22 05:19:00 PST,+6898.09+0.0512584d
2014-06-22 05:20:00 PST,+7180.97+0.0601408d
2014-06-22 05:21:00 PST,+6874.77+0.0561463d
2014-06-22 05:22:00 PST,+6692.31+0.0551529d
2014-06-22 05:23:00 PST,+6167.77+0.0586782d
2014-06-22 05:24:00 PST,+4732.19+0.0507097d
2014-06-22 05:25:00 PST,+5183.76+0.0594317d
2014-06-22 05:26:00 PST,+5281.76+0.0558438d
2014-06-22 05:27:00 PST,+5982.9+0.0636292d
2014-06-22 05:28:00 PST,+5800.46+0.062741d
2014-06-22 05:29:00 PST,+5618.04+0.0618622d
2014-06-22 05:30:00 PST,+4499.52+0.05529d
2014-06-22 05:31:00 PST,+2939.58+0.0494481d
2014-06-22 05:32:00 PST,+2655.6+0.0480129d
2014-06-22 05:33:00 PST,+1915.84+0.0576684d
2014-06-22 05:34:00 PST,+2118.73+0.0490724d
2014-06-22 05:35:00 PST,+2332.51+0.0534697d
2014-06-22 05:36:00 PST,+2150.6+0.0538265d
2014-06-22 05:37:00 PST,+2523.88+0.0513917d
2014-06-22 05:38:00 PST,+2179.85+0.0502711d
2014-06-22 05:39:00 PST,+1329.23+0.0363048d
2014-06-22 05:40:00 PST,+979.447+0.0469135d
2014-06-22 05:41:00 PST,+810.91+0.0504867d
2014-06-22 05:42:00 PST,+775.646+0.0543725d
2014-06-22 05:43:00 PST,+593.982+0.061866d
2014-06-22 05:44:00 PST,+717.359+0.0250596d
2014-06-22 05:45:00 PST,+2191.77+0.0308074d
2014-06-22 05:46:00 PST,+3421.71+0.0222131d
2014-06-22 05:47:00 PST,+2769.3+0.0147399d
2014-06-22 05:48:00 PST,+2196.5+0.0129369d
2014-06-22 05:49:00 PST,+2043.71+0.0109398d
2014-06-22 05:50:00 PST,+1356.29+0.00118811d
2014-06-22 05:51:00 PST,+1062.02-0.00158762d
2014-06-22 05:52:00 PST,+1120.26-0.000243748d
2014-06-22 05:53:00 PST,+893.913-0.0086748d
2014-06-22 05:54:00 PST,+699.543-0.00254491d
2014-06-22 05:55:00 PST,+75.8345+179.913d
2014-06-22 05:56:00 PST,+667.292+179.974d
2014-06-22 05:57:00 PST,+1868.7+179.957d
2014-06-22 05:58:00 PST,+2127.78+179.97d
2014-06-22 05:59:00 PST,+1756.38+179.959d
2014-06-22 06:00:00 PST,+1221.37+179.99d
2014-06-22 06:01:00 PST,+1402.39+179.988d
2014-06-22 06:02:00 PST,+2166.23+179.98d
2014-06-22 06:03:00 PST,+2521.25+179.978d
2014-06-22 06:04:00 PST,+2440.42+179.972d
2014-06-22 06:05:00 PST,+2851.77+179.96d
2014-06-22 06:06:00 PST,+3206.35+179.958d
2014-06-22 06:07:00 PST,+2495.05+179.966d
2014-06-22 06:08:00 PST,+2636.18+179.965d
2014-06-22 06:09:00 PST,+3310.43+179.961d
2014-06-22 06:10:00 PST,+2590.86+179.976d
2014-06-22 06:11:00 PST,+3930.83+179.963d
2014-06-22 06:12:00 PST,+4378.34+179.96d
2014-06-22 06:13:00 PST,+4200.93+179.962d
2014-06-22 06:14:00 PST,+4998.93+179.96d
2014-06-22 06:15:00 PST,+4554.28+179.963d
2014-06-22 06:16:00 PST,+5299.77+179.959d
2014-06-22 06:17:00 PST,+6140.9+179.96d
2014-06-22 06:18:00 PST,+6838.33+179.948d
2014-06-22 06:19:00 PST,+7583.29+179.94d
2014-06-22 06:20:00 PST,+8170.01+179.935d
2014-06-22 06:21:00 PST,+8399.06+179.935d
2014-06-22 06:22:00 PST,+8821.53+179.94d
2014-06-22 06:23:00 PST,+9096.87+179.938d
2014-06-22 06:24:00 PST,+9238.94+179.934d
2014-06-22 06:25:00 PST,+9331.4+179.926d
2014-06-22 06:26:00 PST,+9680.66+179.921d
2014-06-22 06:27:00 PST,+9504.79+179.922d
2014-06-22 06:28:00 PST,+11391.6+179.902d
2014-06-22 06:29:00 PST,+11097.6+179.897d
2014-06-22 06:30:00 PST,+11061+179.901d
2014-06-22 06:31:00 PST,+11955.4+179.904d
2014-06-22 06:32:00 PST,+12705.2+179.898d
2014-06-22 06:33:00 PST,+14058.3+179.895d
2014-06-22 06:34:00 PST,+13770.3+179.896d
2014-06-22 06:35:00 PST,+13394.1+179.901d
2014-06-22 06:36:00 PST,+12914.5+179.903d
2014-06-22 06:37:00 PST,+13266.4+179.902d
2014-06-22 06:38:00 PST,+13047.1+179.901d
2014-06-22 06:39:00 PST,+12994.4+179.903d
2014-06-22 06:40:00 PST,+13796.1+179.9d
2014-06-22 06:41:00 PST,+14147.7+179.898d
2014-06-22 06:42:00 PST,+14167.2+179.899d
2014-06-22 06:43:00 PST,+14918.5+179.892d
2014-06-22 06:44:00 PST,+15666.2+179.896d
2014-06-22 06:45:00 PST,+16483.9+179.894d
2014-06-22 06:46:00 PST,+17507.4+179.893d
2014-06-22 06:47:00 PST,+17858.3+179.891d
2014-06-22 06:48:00 PST,+17705.7+179.894d
2014-06-22 06:49:00 PST,+17753.5+179.892d
2014-06-22 06:50:00 PST,+18104.4+179.89d
2014-06-22 06:51:00 PST,+18540.8+179.889d
2014-06-22 06:52:00 PST,+19846.5+179.889d
2014-06-22 06:53:00 PST,+20733.3+179.887d
2014-06-22 06:54:00 PST,+21522.7+179.885d
2014-06-22 06:55:00 PST,+21488.5+179.886d
2014-06-22 06:56:00 PST,+21656.4+179.889d
2014-06-22 06:57:00 PST,+22718.6+179.882d
2014-06-22 06:58:00 PST,+22922.8+179.882d
2014-06-22 06:59:00 PST,+23710.3+179.875d
2014-06-22 07:00:00 PST,+24464.4+179.875d
2014-06-22 07:01:00 PST,+24484.1+179.876d
2014-06-22 07:02:00 PST,+25059.3+179.868d
2014-06-22 07:03:00 PST,+25432.7+179.866d
2014-06-22 07:04:00 PST,+24844.2+179.86d
2014-06-22 07:05:00 PST,+24815.1+179.86d
2014-06-22 07:06:00 PST,+25220.3+179.863d
2014-06-22 07:07:00 PST,+25413.5+179.864d
2014-06-22 07:08:00 PST,+25706+179.863d
2014-06-22 07:09:00 PST,+25998+179.862d
2014-06-22 07:10:00 PST,+26290.2+179.861d
2014-06-22 07:11:00 PST,+26882.5+179.861d
2014-06-22 07:12:00 PST,+27378.7+179.859d
2014-06-22 07:13:00 PST,+27585.4+179.861d
2014-06-22 07:14:00 PST,+28087.9+179.863d
2014-06-22 07:15:00 PST,+28380.4+179.862d
2014-06-22 07:16:00 PST,+28142.9+179.86d
2014-06-22 07:17:00 PST,+28371.6+179.859d
2014-06-22 07:18:00 PST,+28931.5+179.858d
2014-06-22 07:19:00 PST,+29110.2+179.86d
2014-06-22 07:20:00 PST,+29414.8+179.858d
2014-06-22 07:21:00 PST,+29914.6+179.859d
2014-06-22 07:22:00 PST,+30142.8+179.859d
2014-06-22 07:23:00 PST,+30636+179.857d
2014-06-22 07:24:00 PST,+30257.5+179.854d
2014-06-22 07:25:00 PST,+31021.8+179.852d
2014-06-22 07:26:00 PST,+31119.8+179.853d
2014-06-22 07:27:00 PST,+31484.3+179.851d
2014-06-22 07:28:00 PST,+31563.7+179.854d
2014-06-22 07:29:00 PST,+31815.8+179.853d
2014-06-22 07:30:00 PST,+32006.3+179.853d
2014-06-22 07:31:00 PST,+32193+179.853d
2014-06-22 07:32:00 PST,+32835.6+179.853d
2014-06-22 07:33:00 PST,+32656+179.856d
2014-06-22 07:34:00 PST,+32135.9+179.853d
2014-06-22 07:35:00 PST,+32255.2+179.854d
2014-06-22 07:36:00 PST,+32795.1+179.854d
2014-06-22 07:37:00 PST,+32544.5+179.853d
2014-06-22 07:38:00 PST,+32725.3+179.853d
2014-06-22 07:39:00 PST,+32910.8+179.853d
2014-06-22 07:40:00 PST,+32805+179.854d
2014-06-22 07:41:00 PST,+32651.7+179.852d
2014-06-22 07:42:00 PST,+33708.8+179.853d
2014-06-22 07:43:00 PST,+33604.1+179.853d
2014-06-22 07:44:00 PST,+33025.4+179.851d
